industry,business_age_years,num_employees,business_type,gst_registered,region,annual_revenue_lakh,gross_margin_pct,operating_cash_flow_lakh,revenue_growth_yoy_pct,revenue_volatility_6m_pct,debt_to_equity_ratio,current_ratio,accounts_receivable_days,months_on_platform,total_invoices_lifetime,avg_invoice_value_lakh,invoice_frequency_monthly,pct_invoices_paid_on_time,avg_payment_delay_days,max_payment_delay_days,dispute_rate_pct,order_value_trend,has_existing_loans,num_active_loans,existing_loan_lakh,prev_bnpl_defaults,credit_bureau_score,months_oldest_credit,num_credit_enquiries_6m,relationship_tenure_months,num_unique_billers,repeat_order_rate_pct,platform_gmv_lakh,last_order_days_ago,support_tickets_open,sector_bnpl_penetration_pct,macro_gdp_growth_pct,default_probability,bnpl_approved,credit_limit_lakh,credit_source
IT Services,0.8,22,Sole Prop,0,Metro,139.61,30.67,42.82,-7.86,14.25,0.342,1.224,36.2,23,73,1.496,10.64,80.3,4.2,9.5,1.3,growing,0,0,0,0,563,16,3,23,5,50.5,109.21,0,1,35,6.71,0.4418,0,0,none
Healthcare Supplies,1.2,4,Pvt Ltd,1,Tier-3,726.2,30.67,141.44,-0.89,27.92,1.898,5.379,58.5,7,132,22.537,4.37,61.6,1,12.7,2.02,growing,1,3,5.53,0,617,4,1,7,3,72.5,2974.88,0,0,20,5.64,0.4593,0,0,none
Manufacturing,4,71,LLP,1,Metro,253.34,20.05,4.9,11.77,19.75,0.926,1.749,5,18,1,4.652,4.28,92.7,10.7,11.2,1.07,declining,0,0,0,0,693,40,0,18,5,50.3,4.65,12,0,22,5.4,0.1244,1,18.67,platform
Logistics & Freight,2.6,45,Partnership,1,Rural,395.22,14.42,26.07,-8.41,29.73,4.238,3.262,39,7,30,6.717,1.84,86,10.7,11.3,0.33,growing,0,0,0,0,670,62,0,7,3,82.9,201.51,11,0,15,6.2,0.442,0,0,none
Construction,2.3,52,Partnership,1,Tier-1,90.61,38.58,22.08,-32.13,25.89,0.471,1.478,46.1,38,281,1.09,2.09,93,3.2,5,0.72,stable,1,1,14.44,0,749,78,5,38,2,63.1,306.29,20,0,10,3.77,0.1967,1,38.24,biller
Logistics & Freight,0.8,13,Public Ltd,0,Metro,675.3,30.34,204.89,14.21,13.06,1.46,1.955,41.9,42,28,2.263,18.72,85.6,8.8,18.8,1.4,declining,1,2,7.06,0,793,10,1,42,3,66.3,63.36,1,0,15,6.45,0.181,1,48.63,biller
Manufacturing,11.8,16,Pvt Ltd,1,Rural,1019.78,7.86,23.86,-26.93,23.4,1.191,1.699,30.4,72,8,1.568,16.18,48.5,6.7,6.8,3.47,stable,1,4,10.34,0,574,20,0,72,3,77.7,12.54,2,0,22,4.46,0.2651,1,53.79,biller
Retail (B2B),6.4,3,Partnership,1,Tier-3,18.58,26.21,2.74,14.6,30.04,0.551,1.272,14.4,5,12,1.926,9.64,79.2,7.8,21,3.03,growing,0,0,0,0,672,47,1,5,3,64.9,23.11,5,1,28,6.4,0.3388,1,5.16,platform
Healthcare Supplies,1.1,36,Public Ltd,1,Tier-1,29.53,25.59,2.52,3.58,16.51,0.803,1.045,33,2,93,8.788,2.7,66.4,4.2,9.6,1.02,growing,0,0,0,0,603,24,1,2,6,70.3,817.28,26,0,20,8.12,0.4363,0,0,none
Logistics & Freight,0.8,18,Sole Prop,0,Tier-1,527.12,30.62,132.32,3.42,21.73,1.056,1.648,34.7,5,13,3.604,3.13,65.3,20,22.1,1.92,growing,0,0,0,0,758,49,0,5,3,92.3,46.85,1,0,15,7.38,0.4675,0,0,none
Wholesale Trade,18.9,22,Sole Prop,0,Tier-3,142.4,54.99,39.81,-14.06,1,1.523,1.116,48.9,5,72,0.563,3.08,83,0.7,1.6,2.07,stable,0,0,0,0,686,5,1,5,2,80.1,40.54,16,0,18,5.69,0.3079,1,11.77,platform
Healthcare Supplies,6.2,78,Pvt Ltd,1,Tier-3,765.25,12.18,4.66,1.36,10.58,0.2,1.773,65,10,20,0.292,29.28,75.4,1.9,16.1,1.75,declining,1,3,10.95,0,835,8,3,10,4,49.8,5.84,3,0,20,4.65,0.1051,1,33.45,platform
Wholesale Trade,3.2,6,Pvt Ltd,1,Tier-2,254.31,28.65,36.55,-9.57,13.53,1.077,1.329,23.1,1,13,15.779,6.35,95.6,1.8,13.2,4.13,stable,1,3,11.18,0,504,0,3,1,4,29.1,205.13,27,1,18,8.38,0.4384,0,0,none
Healthcare Supplies,6.5,10,Pvt Ltd,1,Tier-1,478.19,39.95,109.27,64.96,4.77,2.487,2.493,51.3,11,90,0.467,4.11,77.4,10.2,10.5,6.28,stable,0,0,0,0,716,45,0,11,1,84.3,42.03,13,0,20,7.09,0.181,1,31.66,biller
Manufacturing,7.6,17,Public Ltd,1,Tier-1,63.68,42.62,18.92,-8.08,16.32,3.899,1.099,33.2,3,328,1.32,1.88,85.9,0.5,6.9,1.64,stable,0,0,0,0,556,10,2,3,2,70.7,432.96,12,0,22,6.33,0.4377,0,0,none
Professional Services,8.1,4,Public Ltd,1,Tier-1,291.7,24.17,45.5,28.77,31.96,1.739,1.566,58.6,4,40,13.555,11.54,41.6,15.4,18.3,0.77,stable,1,1,27.17,0,706,0,1,4,7,79.8,542.2,53,0,30,7.05,0.4179,0,0,none
Retail (B2B),3.7,9,Pvt Ltd,1,Tier-3,292.86,6.31,14.12,-3.3,18.09,2.091,1.426,64.9,1,61,1.381,3.07,32.4,11.5,13.1,2.52,stable,1,4,6.77,0,802,43,2,1,3,78.3,84.24,23,0,28,3.41,0.6943,0,0,none
Retail (B2B),3.3,20,Pvt Ltd,0,Tier-3,69.1,2,0.79,12.86,28.37,0.491,1.376,58.3,19,130,1.579,2.47,83.5,5.4,12.1,1.72,growing,1,4,116,0,785,36,2,19,4,46.3,205.27,14,0,28,7.98,0.3676,1,19.95,platform
Manufacturing,0.6,8,Pvt Ltd,0,Metro,736.84,31.92,146.1,8.15,22.09,1.03,2.463,55.5,3,16,2.027,2.62,93.1,4.3,9.9,3.66,declining,1,1,25.63,0,707,14,2,3,3,74.2,32.43,46,1,22,7.05,0.2934,1,31.73,platform
Retail (B2B),13.6,51,Pvt Ltd,1,Tier-2,12.76,26.11,2.01,4.69,32.21,0.499,0.691,5,13,25,2.19,4.72,56.1,5.3,6.5,0.15,declining,0,0,0,0,796,66,5,13,2,52,54.75,10,0,28,8.01,0.3158,1,8.92,platform
FMCG Distribution,5.1,2,Partnership,1,Tier-1,242.45,23.54,28.32,4.06,14.38,1.163,0.643,35,31,6,1.357,5.83,80.7,10.9,12.9,6.32,declining,1,1,72.38,0,680,103,5,31,1,66.5,8.14,2,0,25,4.62,0.2689,1,21.97,biller
Professional Services,1.6,41,Sole Prop,0,Tier-3,29.62,25.39,5.58,12.95,8.31,8,1.404,62.9,5,48,1.418,1.37,84.4,6.8,12.8,2.45,stable,1,2,58.86,0,725,0,1,5,5,79.6,68.06,2,0,30,7.57,0.5771,0,0,none
Retail (B2B),13.1,25,LLP,1,Tier-3,43.33,33.74,11.87,35.53,22.83,4.346,4.334,81.1,1,8,10.674,4.43,62.5,0.3,3.1,1.61,stable,1,2,44.33,0,538,22,2,1,2,84.5,85.39,5,0,28,6.9,0.5738,0,0,none
IT Services,12.8,6,Sole Prop,1,Tier-2,720.81,28.56,121.27,-14.62,1,2.543,1.969,62.6,10,78,3.862,3.41,74.1,24.8,33.1,0.13,growing,1,1,34.21,0,641,2,3,10,9,64.8,301.24,15,0,35,6.23,0.2765,1,42.74,platform
Construction,23.1,4,Sole Prop,1,Tier-1,38.87,26.64,4.94,-27.36,20.97,1.741,3.416,56.6,7,12,0.874,2.59,44.6,0.9,10.8,1.26,growing,1,2,35.36,0,693,0,2,7,3,92.8,10.49,5,0,10,8.54,0.3882,1,5.27,biller
FMCG Distribution,10.9,1,Sole Prop,1,Metro,36.64,14.88,1.8,-8.61,7.08,1.104,2.818,46.8,9,35,28.274,7.57,74.6,4.3,5.2,3.05,stable,1,4,89.2,0,732,57,1,9,4,94.8,989.59,3,1,25,5.56,0.1006,1,64.4,biller
Logistics & Freight,30,5,Sole Prop,1,Metro,408.48,34.47,96.98,10.56,6.28,2.273,0.816,36,1,19,15.521,4.41,89.8,34.4,42.3,0.51,declining,1,1,23.24,0,776,55,1,1,2,58,294.9,19,2,15,7.47,0.2279,1,35.74,platform
Retail (B2B),1.9,38,Partnership,0,Tier-1,38.28,15.07,2.01,2.08,18.5,0.834,1.635,75.3,7,143,5.533,1.08,85,14.9,22.4,1.63,stable,1,4,10.62,0,691,22,0,7,6,77.2,791.22,30,0,28,6.98,0.3626,1,40.58,platform
IT Services,9.7,11,Pvt Ltd,1,Tier-1,754.08,33.61,162.17,38.84,2.27,7.634,1.063,55.5,1,201,2.721,2.38,89.8,3.1,3.9,4.15,growing,0,0,0,0,810,119,2,1,3,73.1,546.92,49,0,35,7.29,0.1672,1,65.45,platform
Construction,9.2,43,Pvt Ltd,0,Tier-2,446.95,17.29,48.9,36.4,10.9,2.623,0.982,41,37,47,1.668,5.74,65.6,6.4,11.9,3.74,stable,1,1,9.55,0,850,45,0,37,6,83.3,78.4,2,0,10,7.41,0.3208,1,32.19,biller
Wholesale Trade,1.8,6,Sole Prop,1,Tier-2,61.03,29.07,15.38,-1.09,1.87,2.931,0.707,51,10,14,8.101,1.99,80.8,19.3,30.5,0.35,growing,1,2,27.12,0,693,63,2,10,4,78.6,113.41,5,0,18,5.46,0.4683,0,0,none
Logistics & Freight,1,26,Public Ltd,0,Tier-3,715.17,43.16,292.25,38.9,22.11,0.91,1.036,50.3,42,87,49.196,1.57,79.8,7.8,27.7,1.1,stable,1,1,98.08,3,624,60,0,42,6,77.5,4280.05,22,0,15,5,0.8919,0,0,none
Retail (B2B),19.9,5,Partnership,1,Tier-1,12.01,29.93,0.18,16.41,26.36,0.934,2.096,53.4,2,101,40.551,12.67,95.3,3.8,6.4,3,stable,0,0,0,0,620,36,1,2,8,71,4095.65,24,1,28,6.55,0.1442,1,241.2,platform
Healthcare Supplies,2.3,4,LLP,1,Metro,351.25,39,75.29,-6.58,15.03,0.747,2.273,60.1,7,4,1.036,14.1,61.3,3,5.5,3.61,declining,1,2,7,0,651,32,4,7,6,82.1,4.14,9,1,20,7.6,0.3198,1,19.22,platform
Wholesale Trade,10.7,10,Pvt Ltd,1,Tier-1,31.67,17.54,0.42,5.61,36.97,0.497,1.964,20.9,9,44,12.934,3.56,83.9,2.9,5.4,2.38,stable,0,0,0,0,813,107,1,9,8,72.8,569.1,5,0,18,6.29,0.0816,1,40.53,platform
Logistics & Freight,0.5,5,Sole Prop,0,Tier-2,87.13,23.15,17.96,4.14,12.66,4.109,1.062,21.2,65,47,1.1,3.57,79.6,2,6.9,1.5,growing,1,2,11.03,3,717,48,0,65,6,72.5,51.7,6,3,15,4.67,0.885,0,0,none
IT Services,0.6,2,LLP,0,Tier-1,95.37,17.74,10.05,-6.72,1.66,2.333,1.32,68.9,2,16,15.018,6.13,86.7,35.9,51.6,1.78,growing,0,0,0,0,656,38,2,2,1,42,240.29,39,0,35,6.13,0.6545,0,0,none
Construction,3.6,9,Sole Prop,1,Tier-1,1090.03,2.08,20.13,-4.68,1,0.97,0.989,30.2,19,18,2.012,1.73,56.3,9.9,10.2,1.72,growing,1,2,20.45,0,806,0,0,19,8,52.6,36.22,13,0,10,6.71,0.342,1,41.69,platform
Wholesale Trade,1.9,13,LLP,1,Tier-1,89.86,34.82,20.79,17.03,13.55,0.833,3.237,40.6,42,7,4.566,3.73,79.9,0.2,10.7,3.01,declining,0,0,0,0,828,29,1,42,3,93,31.96,2,0,18,6.34,0.0814,1,25.62,biller
Logistics & Freight,6.4,49,Partnership,1,Tier-1,162.38,28.83,12.29,0,18.23,4.347,2.266,53.1,11,41,0.962,8.37,63.6,18.8,22.3,5.33,growing,1,4,12.47,0,603,9,1,11,2,72.1,39.44,1,0,15,6.76,0.5571,0,0,none
Logistics & Freight,4.7,34,Pvt Ltd,1,Rural,98.16,27.98,9.83,2.34,39.98,2.045,0.754,45.4,41,9,0.399,2.13,62.8,1.7,6.9,2.75,stable,1,3,16.75,0,655,68,3,41,5,73.4,3.59,4,0,15,6.56,0.4743,0,0,none
Logistics & Freight,0.9,46,Pvt Ltd,0,Tier-1,45.8,36.78,9.54,3.86,4.3,0.963,1.897,47.9,4,53,4.114,8.49,86.6,28.9,36.9,0.7,declining,1,1,23.7,0,660,20,3,4,2,67.1,218.04,0,0,15,5.02,0.4776,0,0,none
Logistics & Freight,1.4,26,Partnership,1,Tier-1,42.84,8.38,2.67,4.64,8.68,3.42,0.963,33.3,5,33,2.354,9.18,71.8,10.5,13.8,3.33,stable,0,0,0,0,753,62,2,5,3,66.5,77.68,16,0,15,5.99,0.499,0,0,none
Construction,3,17,LLP,1,Tier-3,279.28,5.5,9.43,26.41,19.78,6.189,1.994,78.6,1,5,0.402,6.85,47.9,0.7,4.2,0.62,stable,1,3,28.53,0,816,27,1,1,5,89.9,2.01,8,1,10,6.58,0.5753,0,0,none
Healthcare Supplies,1.5,3,Pvt Ltd,1,Tier-2,174.7,36.9,41.54,-8.53,15.97,0.85,2.403,59.1,14,13,5.506,23.79,89.9,13.3,20.1,0.59,declining,1,4,1,0,661,80,0,14,3,71.8,71.58,38,1,20,6.2,0.1732,1,19.57,platform
Manufacturing,8.4,14,Sole Prop,1,Tier-2,527.17,21.16,56.96,12.61,8.98,0.966,0.382,45.8,12,116,1.072,17.36,82.6,6.2,12.2,5.22,growing,1,3,13.79,2,651,9,4,12,1,89.2,124.35,14,0,22,8.32,0.7756,0,0,none
FMCG Distribution,3.2,23,Sole Prop,1,Tier-2,129.17,24.58,28.02,-22.26,14.57,1.13,5.046,94,15,8,0.214,2.12,64.6,3.1,11.9,0.3,growing,0,0,0,0,756,14,1,15,3,38.8,1.71,4,1,25,6.3,0.2233,1,13.2,platform
IT Services,1,60,Pvt Ltd,0,Tier-1,135.16,4.39,3.78,-2.43,3.66,1.712,2.869,32.6,30,11,1.027,3.7,81.4,3.5,11.6,4.97,stable,1,2,3.44,0,697,69,3,30,2,93.3,11.3,21,0,35,7.22,0.2647,1,17.76,biller
Wholesale Trade,3.8,25,Pvt Ltd,0,Tier-3,529.56,39.67,128.59,-18.15,10.53,1.313,1.119,55.1,13,23,22.499,5.98,53.9,4,4.5,2.41,growing,0,0,0,0,635,11,1,13,5,70.4,517.48,5,0,18,7.8,0.6674,0,0,none
Wholesale Trade,1,47,Partnership,0,Metro,107.67,30.06,21.81,40.36,3.89,0.42,1.613,48.8,3,66,6.57,2.42,86.4,15.7,21,1.55,growing,0,0,0,1,761,42,1,3,5,90.5,433.62,69,0,18,6.15,0.6751,0,0,none
Retail (B2B),1.2,3,Pvt Ltd,1,Tier-1,24.16,15.09,1.81,10.68,25.43,0.649,2.388,52.6,1,20,4.937,8.11,91,16.3,18,2.29,growing,1,1,22.65,0,654,15,1,1,3,36.3,98.74,0,1,28,6.9,0.309,1,7.43,platform
Healthcare Supplies,1.9,8,Pvt Ltd,1,Metro,593.81,47.03,143.11,-0.52,22.42,1.495,0.602,51,1,5,6.915,13.56,80.7,0.2,2.7,2.28,growing,1,1,20.59,0,637,9,2,1,5,58.5,34.58,32,0,20,8.58,0.3481,1,25.44,platform
Construction,10.3,19,Pvt Ltd,1,Metro,70.25,5.64,2.85,-26.74,14.48,4.516,2.027,100.3,14,86,1.126,2.08,78.2,9.5,16.5,0.65,growing,1,1,9.97,3,378,29,1,14,7,91,96.84,33,0,10,8.17,0.9302,0,0,none
Healthcare Supplies,13.4,43,Pvt Ltd,1,Rural,199.07,18.05,28.53,-18.79,15.16,1.603,2.089,52.8,18,363,0.364,2.91,84.4,4.9,24.3,1.87,declining,0,0,0,0,508,11,1,18,3,84.2,132.13,2,0,20,6.75,0.2191,1,21.81,biller
IT Services,9.3,10,Sole Prop,1,Tier-3,75.41,33.84,20.93,25.03,17.24,2.835,2.573,54.3,5,17,1.515,1.96,50.1,18.7,19.7,2.95,declining,1,3,13.94,0,737,35,1,5,2,67,25.76,6,1,35,6.55,0.399,1,6.82,platform
IT Services,2.5,11,Sole Prop,1,Tier-2,46.46,35.84,9.18,15.09,10.45,1.775,1.033,27.8,22,58,4.42,2.68,86.5,16.9,25.5,2.03,declining,1,2,13.3,0,667,34,2,22,4,71,256.36,10,0,35,6.1,0.2878,1,24.18,platform
Manufacturing,2.1,25,Sole Prop,1,Metro,12.7,4.08,0.33,-20.82,1.89,1.187,1.913,36.6,6,9,3.052,3.1,89.3,14,78,0.77,declining,1,3,8.79,3,492,39,1,6,4,93.4,27.47,17,0,22,6.9,0.8221,0,0,none
Retail (B2B),4.5,3,Partnership,1,Tier-2,291.44,18.6,24.31,-20.73,11.6,0.67,2.67,55,15,96,1.895,5.07,81.3,0.5,3.6,0.82,declining,0,0,0,0,494,53,1,15,6,68.2,181.92,40,1,28,6.45,0.2887,1,26.6,platform
IT Services,6.9,71,Public Ltd,1,Tier-2,5,30.95,1.23,44.96,19.88,1.822,1.026,39.2,34,102,3.816,3.57,59.7,1.6,1.7,2.24,stable,1,3,10.07,0,692,10,1,34,4,73,389.23,26,0,35,4.73,0.256,1,32.09,biller
Wholesale Trade,25.6,4,LLP,0,Tier-2,1116.2,39.68,161.13,35.11,24.52,3.616,2.271,58.2,4,57,6.59,4.66,74.6,6.2,19,3.49,declining,1,2,9.37,0,630,44,4,4,5,55,375.63,46,0,18,7.46,0.5704,0,0,none
Manufacturing,1.2,1,Public Ltd,1,Tier-2,768.79,38.67,194.88,13.91,15.72,0.49,1.021,41.5,26,64,1.341,1.11,84.5,6.4,15.9,0.93,stable,1,2,9.27,3,587,44,3,26,6,82.9,85.82,3,0,22,5.85,0.8309,0,0,none
Logistics & Freight,0.8,12,Partnership,0,Metro,50.74,30.41,12.65,10.32,8.97,2.133,1.258,32,1,85,5.039,3.36,90.8,10.7,19.1,5.02,declining,0,0,0,0,801,3,1,1,4,83.3,428.32,72,0,15,7.09,0.3832,1,23.29,platform
Construction,6.4,78,LLP,1,Tier-3,1674.98,23.08,244.1,4.64,20.6,0.864,0.691,11.6,22,26,15.099,9.94,71.2,1.4,3.1,1.46,growing,1,1,17.51,0,731,16,1,22,5,58.8,392.57,24,1,10,4.6,0.2937,1,91.53,platform
Professional Services,9.4,23,Sole Prop,1,Metro,3245.81,19.85,434.9,-17.15,16.74,1.789,0.486,71.1,5,2,14.162,5.26,76.5,4.5,8.5,1.07,growing,0,0,0,0,756,29,1,5,4,80.8,28.32,3,0,30,4.77,0.1666,1,130.18,platform
Professional Services,9.9,27,Pvt Ltd,1,Metro,123.64,27.98,18.4,25.21,4.59,0.746,2.504,38.8,1,22,0.965,1.42,68,8.3,10.1,3.88,growing,0,0,0,0,620,4,1,1,4,64,21.23,7,0,30,7.21,0.1926,1,8.96,platform
Construction,6.2,12,Pvt Ltd,1,Metro,322.26,39.21,17.25,4.09,3,1.516,2.822,40.5,1,11,10.523,3.39,73,15.3,25.1,2.47,declining,1,4,18.85,2,508,11,1,1,3,41.9,115.75,6,0,10,5.95,0.9122,0,0,none
IT Services,15.9,10,Sole Prop,0,Metro,219.37,19.43,18.4,22.61,9.62,0.633,2.028,62.2,9,16,1.375,5.75,87.7,0.4,2.9,5.84,stable,1,3,11.36,0,667,35,0,9,4,81.2,22,80,0,35,7.9,0.119,1,17.44,platform
Logistics & Freight,4.1,2,Pvt Ltd,1,Tier-3,1508.79,18.72,172.6,-0.08,30.25,2.933,0.978,33.1,2,37,4.225,2.66,94.8,19.3,20.4,0.68,declining,0,0,0,0,739,47,2,2,4,79.9,156.32,57,1,15,6.46,0.3889,1,57.47,platform
Healthcare Supplies,12.8,1,Pvt Ltd,1,Tier-2,25.8,35.74,3.94,15.26,20.56,1.411,2.44,78.1,10,35,12.547,6.91,70.9,1.7,1.8,0.45,stable,1,3,206.37,0,669,0,1,10,1,77.3,439.15,56,2,20,8.28,0.1567,1,30.43,platform
Wholesale Trade,17.7,15,Partnership,1,Tier-3,131.85,34.74,33.04,-1.61,29.84,5.647,1.856,53.7,24,5,0.158,15.41,73,15.6,35.8,1.49,declining,1,1,10.53,0,628,0,0,24,1,86.5,0.79,49,0,18,6.41,0.3669,1,14.83,biller
IT Services,9.9,51,Sole Prop,1,Tier-3,656.65,16,24.58,9.39,14.66,1.723,2.129,69,14,52,0.502,2.75,65.9,10.3,19.8,2.55,growing,1,4,20.65,0,689,53,3,14,3,89.7,26.1,10,0,35,4.29,0.2205,1,33.12,biller
FMCG Distribution,2.4,17,LLP,1,Tier-2,566.2,6.17,4.04,23.95,14.62,0.607,2.029,63.5,22,24,1.334,7.66,81.6,1.8,5.6,2.28,stable,1,2,3.73,0,690,58,0,22,5,88.7,32.02,13,0,25,6.53,0.135,1,35.8,biller
Retail (B2B),1.6,24,Partnership,1,Rural,170.73,2,2.64,-2.7,11.94,0.379,1.188,60.8,11,68,1.211,2.21,51.2,9.5,27.9,4.03,growing,1,1,14.53,0,748,67,4,11,2,75.4,82.35,2,0,28,6.1,0.5767,0,0,none
Logistics & Freight,4.5,69,Sole Prop,1,Rural,1273.13,23.56,156.6,48.39,4.14,4.206,1.732,35.5,16,34,0.653,5.09,65.8,13.3,40.6,5.13,stable,1,2,30.23,0,601,0,0,16,6,94.5,22.2,15,0,15,5.6,0.5495,0,0,none
Logistics & Freight,3.5,17,Pvt Ltd,1,Tier-1,251.36,8.74,15.08,-3.56,19.61,0.837,1.373,23.8,14,37,2.506,6.65,86.9,27.1,39.5,1.7,growing,0,0,0,0,567,35,1,14,2,94.7,92.72,1,0,15,6.38,0.3875,1,17.79,biller
Manufacturing,11,10,Sole Prop,0,Tier-2,212.55,32.76,32.71,10.73,16.91,0.613,1.763,64.5,3,15,1.387,1.65,98.2,30.7,41.8,5.18,growing,0,0,0,0,714,0,0,3,3,66.8,20.8,19,0,22,7.42,0.2032,1,14.2,platform
Retail (B2B),1,4,Partnership,0,Metro,481,2,7.13,35.64,7.67,3.957,2.408,14.1,8,56,3.548,7.93,88.3,6.2,8.2,0.1,stable,0,0,0,0,653,0,2,8,6,78.8,198.69,8,0,28,5.04,0.5227,0,0,none
Retail (B2B),2,112,LLP,0,Tier-3,166.46,41.36,64.67,37.01,16.32,0.953,1.22,19.3,17,52,1.363,1.79,98.4,0,0.9,2.14,growing,1,4,22.21,0,813,25,2,17,3,68.4,70.88,18,0,28,6.8,0.2536,1,20.79,platform
Wholesale Trade,7.5,21,Partnership,0,Tier-1,194.49,17.96,33.43,17.35,25.05,2.802,2.384,40.1,17,32,28.13,7.41,92.5,5.8,7.2,0.76,declining,1,3,8.4,0,606,50,2,17,5,84.2,900.16,3,0,18,5.86,0.3353,1,56.01,biller
Wholesale Trade,1,4,Partnership,0,Rural,60.21,12.42,3.28,13.38,18.14,1.79,1.694,39.6,4,38,1.856,6.7,75.8,0.2,26.2,2.28,stable,1,1,11.81,0,660,60,1,4,3,68.2,70.53,11,0,18,6.68,0.5501,0,0,none
FMCG Distribution,2.4,3,Partnership,1,Metro,11012.26,15.51,844.64,9.38,9.67,0.292,1.535,20.4,12,39,4.769,2.3,86.6,8.7,11.5,0.67,declining,0,0,0,0,655,16,0,12,9,94.6,185.99,15,1,25,5.88,0.1311,1,433.4,biller
Retail (B2B),2.9,48,LLP,1,Tier-3,93.43,11.62,6.98,35.13,9.9,2.253,1.539,41.3,2,26,17.31,1.95,64.7,12.7,15,0.52,growing,0,0,0,0,663,40,1,2,6,81.1,450.06,10,0,28,5.29,0.4881,0,0,none
IT Services,5.4,3,Public Ltd,1,Rural,503.18,40.18,202.18,27.15,19.05,0.62,2.393,42.8,20,9,0.71,7.49,92.4,8.2,15.1,3.68,growing,1,2,26.93,0,691,66,0,20,2,58.8,6.39,39,1,35,6.26,0.1215,1,37.86,platform
Retail (B2B),1.4,93,Pvt Ltd,1,Tier-1,2623.37,30.06,245.88,29.79,6.1,0.503,1.51,37.6,19,7,2.017,0.84,43.3,2.8,5.5,3.74,stable,0,0,0,0,743,6,4,19,5,47.4,14.12,21,0,28,5.9,0.4149,0,0,none
Professional Services,10.4,1,Partnership,1,Tier-3,27.66,23.16,2.01,40.69,20.11,0.229,1.559,48.6,21,13,0.629,6.56,88.9,0.1,5.9,0.42,growing,0,0,0,0,758,40,1,21,4,83,8.18,11,0,30,4.47,0.0533,1,12.12,biller
Manufacturing,3.5,58,Sole Prop,1,Rural,426.51,7.57,26.39,17.16,21.98,0.536,3.686,5,2,132,0.5,9.56,97.9,12.2,22.4,1.03,stable,0,0,0,0,725,57,0,2,2,78.1,66,1,0,22,6.15,0.1568,1,21.9,platform
IT Services,12.9,20,LLP,1,Tier-2,187.25,21.34,17.32,-0.14,24.21,1.014,2.5,62.6,6,88,0.373,5.87,89,0.9,2,0.6,growing,0,0,0,0,676,26,2,6,5,93.1,32.82,1,0,35,7.47,0.0945,1,13.54,biller
FMCG Distribution,3.7,13,Partnership,1,Tier-1,2236.4,12.75,218.07,15.03,18.81,1.438,2.983,80.5,6,66,0.646,6.55,86.4,10.7,20.1,1.1,growing,0,0,0,0,683,1,3,6,4,85.1,42.64,12,0,25,6.15,0.2171,1,95.53,platform
FMCG Distribution,2.1,10,Pvt Ltd,0,Tier-3,50.76,2,0.46,9.12,11.54,1.523,3.745,41.4,3,3,15.38,0.98,62.6,9.5,15.9,2.43,growing,1,1,14.13,0,842,40,0,3,5,89.7,46.14,14,0,25,6.26,0.3748,1,7.52,biller
Manufacturing,1.3,97,Partnership,0,Rural,63.23,13.68,5.95,4.22,20.86,2.736,1.87,46.6,1,47,0.767,2.71,84.5,34.5,36.9,5.3,declining,1,1,41.64,0,545,60,1,1,4,47.1,36.05,18,0,22,5.46,0.7989,0,0,none
Healthcare Supplies,0.5,26,Partnership,0,Metro,169.04,29.26,23.37,-0.09,4.86,0.346,5.373,38.9,17,64,4.22,3.22,81.8,0.3,7.9,5,declining,1,2,42.15,2,553,32,0,17,2,36.8,270.08,17,0,20,5.31,0.8415,0,0,none
IT Services,4.3,4,Partnership,1,Tier-1,90.84,16.89,5.35,18.95,28.21,0.255,2.104,55.2,13,35,8.843,1.5,94.5,2.5,22.9,4.16,growing,0,0,0,0,774,31,1,13,3,87.4,309.5,19,0,35,6.33,0.0693,1,28.65,biller
IT Services,1.1,1,Pvt Ltd,1,Rural,95.3,20.26,12.29,20.75,8.18,8,0.852,61.7,7,41,1.841,2.89,98.4,2.2,5.1,0.13,declining,0,0,0,1,634,0,0,7,4,83.1,75.48,2,0,35,5.48,0.7846,0,0,none
Manufacturing,3,14,Pvt Ltd,1,Tier-1,3102,34.49,317.61,-5.92,33.12,1.29,1.27,22.3,7,45,16.52,5.34,87.6,12.1,19.9,3,growing,1,3,14.32,0,720,47,0,7,5,68.2,743.4,2,0,22,7.51,0.2735,1,141.45,platform
Wholesale Trade,4.9,12,Sole Prop,1,Tier-2,216.56,32.34,50.01,14.32,12.51,2.07,0.739,35.4,5,39,2.019,1.53,84.6,49.6,51.8,1.93,growing,0,0,0,0,801,90,1,5,5,53.5,78.74,53,0,18,5.14,0.429,0,0,none
Construction,2.1,2,Public Ltd,1,Rural,60.43,45.53,14.9,40.47,19.95,0.427,2.953,27.3,2,29,3.995,3.12,82.9,1.1,7,0.53,growing,0,0,0,0,753,52,0,2,3,91.5,115.86,12,0,10,7.93,0.2299,1,10.65,biller
IT Services,1.5,11,LLP,1,Tier-3,105,2,0.55,-6.93,16.26,2.329,1.84,72.6,6,9,3.495,2.35,73.3,8,16.6,0.38,stable,1,3,198.53,0,715,56,1,6,2,81.2,31.46,7,0,35,5.08,0.3074,1,8.4,platform
